abandon   5234
downs   2775
downward   1315, 2259
draff   5713
draft   2996
drag   2884
dragging   6584
dragon   657, 1331, 2344, 2645, 6956
drama   5058, 5066
dramatic   4983, 5005
dramaticke   1032
drank   5687
draught   2112, 5122
draw   1741, 1957, 2748, 2828, 5120, 5294, 5488, 5953, 6222, 6461, 6887
drawes   3799
drawn   1250, 1308, 3113, 3372, 5910
draws   4787, 6205, 6235
dread   1964, 4295, 5470, 6439, 6699, 6936
dreaded   5665, 6637
dreadful   6851, 6883
dreadfull   650, 4354
dreading   5880
dream   1239, 1419, 1884, 2712
dreams   1281, 3111
drear   691, 1391, 2243
dred   710, 2655, 2696
dredded   4968
drench   3798
drenches   3325
dress   77
dresses   1196
dressing   1003
drest   3720
drew   1379, 5883, 6857, 6911
drie   3390
drift   3913
dring   372
drink   3018, 3723, 4310, 5695
drinks   2801, 5677, 5692
drive   1085, 3484
driven   3115
drives   3959
driving   2711, 3509
drone   5706
droop   5735
drooping   2002, 3110
dropping   2319, 3169, 3638
drops   1402, 3224
dropt   746, 2025, 3143
dross   819
drosse   7046
drouth   2272, 3243
drov   4322
drove   1853, 2328, 5326
drown   1821
drowsie   1355, 2827, 3367, 3570
drowsines   1731
drudge   5712, 6541, 6610
drudging   1215
drugs   2478
druids   1881
drunk   6933
dry   1338, 4577, 5722
dryades   3287
dubbio   1561
duca   2153
duck   3283
due   64, 248, 1147, 1427, 1831, 2218, 2418, 2546, 3073, 4230, 4540, 5647, 6219, 6410
duel   6275
duell   5473
dues   2350
dull   1035, 1152, 2733, 2916
duly   1216
dum   3509
dumb   3093
dumm   665
dun   2340, 3605
dunbarr   3895
dung   4521
dungeon   1927, 2596, 2633, 5182, 5270, 5495
duole   1548
during   157
duro   1483, 1503, 1572
durst   2851, 2896, 6286, 6289, 6307, 6449, 6450
dusky   2312
dust   863, 2381, 4182, 4183, 5255
duty   6004, 6021
dwell   1120, 1277, 2491, 2960, 3711, 3977, 4082, 4505, 4559, 4594, 4649, 4822
dwellings   4556, 4747
dwells   5273, 6936
dwels   2683, 2795, 3317
dwelt   862, 4964
dye   5145
dying   691, 958, 3382, 6923
each   562, 694, 822, 1022, 1912, 1924, 2225, 2553, 2711, 3142, 3539, 3867, 3917, 3918, 3973, 4058, 4193, 4831, 5023, 5178, 5526, 6258, 6260, 6484, 6860, 6868, 6878, 6916, 7049
eager   2023
eagle   407, 6959
ear   846, 1258, 1392, 1436, 1743, 1876, 2389, 2422, 2713, 2844, 4089, 4289, 4585, 4672, 4689, 4758, 4783, 5292, 6009, 6076, 6093, 6352, 6819
eare   2834, 3081
earl   1635, 2068
earle   2050
earlier   1199
earliest   9, 1616
earls   919
early   136, 939, 1005, 1726, 3747, 4093, 6857
earn   5712
earnest   4040, 4903, 5487
earns   6454
ears   556, 600, 1906, 2496, 3002, 3326, 3532, 3693, 3850, 6417
earst   5466, 6783
earth   513, 573, 646, 687, 726, 770, 895, 922, 948, 1316, 2212, 3008, 3026, 3094, 3176, 3458, 3472, 3606, 3780, 3971, 3992, 4181, 4246, 4273, 4472, 4473, 4549, 4654, 4877, 4890, 4954, 5279, 5288, 6467
earthie   7060
earthly   615
earths   2467, 2875, 3343, 3428, 3451, 3988, 4466
earthy   833, 3712
eas   5185
ease   854, 1091, 1984, 2980, 5130, 5131, 5392, 6072
easie   1022, 2379, 2520, 5208, 5723
easier   5921
easily   801, 2138, 5161, 5414, 5538, 6099, 6167, 6690
easing   1123
east   998, 2314
eastern   454, 1169, 2351, 5685
easy   171
eat   1212, 4309
eating   1245
eaton   392
eaves   1402
ebbing   2225
ebon   1118, 2347
ebrew   5095, 6518, 6779
ebrews   6504
eccentricities   24
echo   562, 2452, 2499
echoes   800, 1868
echoing   1166
eclipse   1931, 5194
eclog   340
ecron   6140
ecstatick   783
edg   680
edge   1936
edicts   5425
edifice   6847
edited   19
editio   27
edition   8, 13, 14, 20, 23, 25, 35, 44, 47, 49, 65, 79, 82, 116, 136, 150, 163, 164, 283, 297, 319, 352, 909, 2032, 2035, 3378, 4974
editions   31, 33, 62, 157
editor   8
edom   4502
edovardo   1798
education   367
edward   3662
edwards   3845
eev   1310, 1585, 1724, 2407, 2421, 4718
eeve   1458, 3146
eeven   42, 1336, 3070
eeves   1240
effect   2912, 5825
effects   5014
effeminacy   5539
effeminatly   5701
efficacious   6658
egerton   2199, 2200
eglantine   1158
egypt   2969, 4752
eheu   2056
eie   1413, 2572, 4146, 5590, 5779, 5834
eied   407
eies   1231, 5724, 5872
eight   242, 923
either   2743, 3763, 3919, 6197, 6487, 6682
ejected   6391
eld   2577, 2607, 2659, 2673, 2737, 2742, 2750, 2763, 2780, 2785, 2860, 2895, 2940, 3402
elder   5026
eldest   3565, 3921
elec   4908
elected   5822
electra   1606
element   1368, 2538
eleventh   108
elfe   3149
elisian   3441
elm   1763, 2601
elms   1168
elohim   4529
eloquent   1642
els   38, 550, 1049, 1388, 1731, 1951, 2398, 2414, 2744
else   2757, 4047, 5119, 5439, 5726, 5746, 5838, 5919, 6342, 6759
elsewhere   2034
elves   2331
elysian   1257, 3325
elysium   2480
emathian   1603
embarqu   6209
embattelld   5243
embers   1351
emblaze   3029
embost   6964
embowed   1429
embrace   3412, 3826
embraces   5518
embroidery   1980
emims   6251
eminently   1618, 5823
emphasis   173, 199, 210, 226
emphasize   175, 191
emphasized   187
emphatic   189, 259
empire   3408
employ   881
employment   63
emprise   2888
emptied   864
empty   2473
emrauld   3204
enameld   623, 1758, 1971
enchanted   6090
enchanter   3117
enchantments   6310
enclin   3826, 6897
encline   2664, 4672
enclos   5311, 6293
encomber   3071
encomions   387
encompass   4403
encounters   6257
encrease   967
end   220, 1058, 1219, 1671, 2349, 2415, 3080, 3343, 3496, 3656, 4437, 4626, 5351, 5592, 5657, 5715, 5848, 5853, 6023, 6158, 6171, 6459, 6985, 7026
endangering   6172
endear   5945
endeavour   3714, 5065, 5085, 5915
endeavouring   1021, 3506
endeavours   5081
ended   1080, 3303, 3410, 3501
ending   1401
endles   906
endless   3875
endor   4520
endowments   2082
ends   2376, 4756, 5066, 5098, 5175, 6045, 6207
endu   6488
endure   5609
enemies   4148, 4154, 4433, 5147, 5181, 5225, 5675, 5783, 5785, 5931, 6030, 6338, 6386, 6837, 6976, 6991
enemy   4179, 4252, 5358, 5440, 5509, 6007, 6034, 6636, 6883
enfolded   1734
enforce   6407
engin   1079
engine   1961
engines   6613
england   4859
englands   1636
english   327, 363, 386, 405, 3501, 3691
enjoy   2109, 2630, 3087, 5956, 6070, 6150
enjoyes   3632
enjoying   5271
enjoyn   5119
enjoyning   6021
enlightened   538
enliv   2447
enmity   3597, 6385
ennobled   1374
enobl   6719
enough   60, 2158, 3695, 4416, 5561, 6450
enraged   3133
enrich   2775
enrol   6409
enroll   5797, 7001
enrowle   4764
ens   3564, 3566
enslav   6205
ensnar   5493
ensnare   2995, 4492, 6011
entangl   5911
enter   854, 2754, 2928, 5594, 6106, 6858
enterd   5373
entered   747
enterprise   6407
enterprises   5953
enterr   917
enters   2205, 2300, 2387
entertain   2011, 2177
entertainment   397, 1658, 2120
enthrall   2866
enthron   118, 2217
enthroned   110, 114
entice   1418
enticement   2799
enticing   5698
entire   11
entitl   5033
entomb   822, 7049
entrails   5757
entrance   1629, 2792
entrap   6006
entrata   1485
entreat   4814
entrusted   2242
envermeil   3392
envi   3837
envied   180
envies   6154
envious   814, 2413, 7041
environs   3672
envy   1678, 3695, 3867, 5393, 5688
enwrap   611
epeirot   3911
ephraim   5404, 6147
ephraims   4296
epiloguizes   3303
epistl   5044
epistle   5042
epitaph   53, 144, 914, 1032
epod   5051
equal   4459
equall   2662
equals   5079
equipage   3916
equivalent   5471
ere   545, 725, 870, 904, 1217, 1224, 1465, 1726, 1749, 1832, 1851, 1987, 2262, 2351, 2559, 2822, 2836, 2847, 3126, 3232, 4024, 4080, 4648
erebus   3102
erect   6900
ern   1216
err   2442, 4665, 5329, 5497
errand   2221, 2776, 6480
errata   25, 164, 288, 1790
erring   2864
error   5036
erst   845, 1674
erynanth   1778
escap   2154
eshtaol   5297
especially   201
espoused   3814
essence   850, 2717
essential   5052
esser   1544
est   1807, 4990
establish   4207
estate   4462, 5284, 5889
esteem   385, 1289, 2788, 2916, 3843, 5034
estrange   4808
eternal   123, 425, 2872, 3317, 3337, 6123, 6982
eterne   1518
eternity   824, 2220
etham   5374
ethereal   725
ethiope   1291
ethiops   4756
euclid   3800
euphrosyne   1122
euripides   4920, 5020, 5063
europe   3866, 3939
eurotas   3420
eurydice   1260
evade   78
evasions   5992
eve   134
even   82, 276, 1095, 2177, 2831, 2867, 2907, 4138
evening   2814
evenly   5815
event   402, 2663, 5884, 6791, 7022
events   2655, 3579
ever   399, 729, 829, 834, 964, 1120, 1245, 1589, 1596, 1601, 1612, 2014, 2430, 2616, 2697, 3717, 3870, 3952, 4122, 4496, 4543, 4544, 4573, 4627, 4715, 5008, 5476, 5576, 5684, 5909, 6009, 6056, 6080, 6154, 6352, 6386, 6539, 7000, 7014, 7056, 7061
everlasting   439, 2418, 4706
everlastingly   894
evermore   966, 4595, 5644
every   827, 1177, 1443, 1444, 1729, 1923, 1980, 2225, 2270, 2474, 2492, 2553, 2555, 2765, 2798, 2903, 3065, 3585, 4215, 4313, 5206, 5210, 5321, 5897, 7054
evil   1720, 2687, 2869, 4099, 4204, 4522, 5848, 5883, 6126, 6758, 6777, 6818
evils   2608, 5218, 5311, 5503, 5791, 6349
ewe   2773
exact   3760, 5641, 5937
exactest   408
exactly   72, 86, 170
exalt   4489, 5833
exalter   4013
examination   218
example   143, 173, 226, 271, 5067, 5280, 5913, 5972
examples   65, 5413
exasperate   5768, 6637
exceed   5966
exceeding   859, 860
excel   5187
excell   406, 5658
excellence   2083, 3588
excellency   400
excellent   82
excells   2269
except   59, 69, 264
excess   868, 3068
excluded   5627
excuse   1843, 5881, 5979, 5981
execrably   6571
executes   6479
execution   5640
exempt   5216, 5434, 6073
exempts   3694
exercise   62, 3500, 5755, 6482
exhibited   93
exhibits   44
exil   5211
expect   223, 241, 1913, 6560, 6643
expectance   3558
expedition   6478
experience   1445, 2158, 5305, 5511, 7022
expert   6208
expiate   5623, 5883
expire   4837
explain   6839
explains   3566
explanation   5041
explicit   5060
exploits   5145, 5660, 6720
expos   5188
expose   407
exposes   6074
expresly   5718
express   2275
expression   2088
expressly   2172
exprest   1677
exquisite   2607
extasie   2907
extasies   1437
extend   4628
extenuate   5916
extinct   5183
extinguish   6952
extolling   5798
extraordinary   6598
extream   6545
extreme   2112, 2497
extremity   2925
exulcerate   5768
eyd   490
eye   506, 787, 1179, 1412, 1422, 1461, 1589, 1852, 2371, 2380, 2645, 3307, 4813, 5207, 6074, 6352, 6716, 6730, 6731, 6762, 6854, 6886
eyeless   5154
eyes   484, 746, 1190, 1312, 1438, 1697, 1910, 1971, 2014, 2589, 3049, 3055, 3575, 4722, 4819, 5146, 5238, 6276, 6339, 6718, 6783, 6898, 6953, 7009
eyesight   305
eys   3928
fable   1992, 5061
fables   3098
fabulous   2787
fac   6130
face   2804, 3432, 3823, 3825, 4302, 4318, 4366, 4541, 4586, 4728, 4833, 5889, 7015
faced   579
facsimile   169, 319, 352, 1794, 2041
facsimiled   97
facsimiles   299
fact   92, 168, 5626, 5883
faculties   2910
fading   3388
faery   1212, 2537, 2691
faiery   3569
fail   124, 660, 1056, 1209, 1427, 2873
faile   4400
failing   5476, 6053
fain   3080, 4434, 6773
faint   2577, 3817, 4137
fainted   1086
fainting   5810
faintings   5774
fair   478, 746, 899, 920, 957, 979, 1121, 1133, 1703, 1715, 1847, 1902, 2081, 2240, 2368, 2376, 2514, 2577, 2643, 2697, 2982, 3134, 3165, 3187, 3244, 3295, 3310, 3338, 3382, 3400, 3413, 3532, 3636, 4152, 4556, 4746, 5335, 5668, 5832, 5874, 6090, 6227, 6359, 6988
faire   4747
fairer   5335
fairest   3387
fairfax   3858, 3863, 3866
fairies   2331
fairly   2384, 3358, 3362
faith   2294, 2432, 3297, 3629, 3710, 3716, 3718, 3842, 3877, 3890, 5517, 5898, 6145, 6291
faithful   6115, 6726, 7017
faithfull   1952, 2090, 3260
faithfulness   4823
faithless   5509
fall   195, 231, 793, 961, 2474, 2757, 3448, 3956, 4116, 4233, 4470, 5168, 5283, 5543, 5587, 6459, 6758, 6802, 6803, 6946
fallacious   5444, 5668
falling   2236
fallows   1181
falls   5834
fals   3655, 3872
false   213, 818, 1985, 2372, 2612, 2985, 3056, 3096, 3117, 3491, 4047, 4453, 5346, 5897, 5974, 6053, 7045
falshood   2510, 2993, 6113, 6138
faltring   4112
fam   3333, 6267
fame   1017, 1599, 1673, 1711, 1899, 1907, 1913, 3701, 5048, 6130, 6440, 6970, 6982
familiar   2116
family   1659, 2074, 2153
famous   163, 405, 1698, 1881, 5259, 5663, 5678
famousest   6141
fancied   3823
fancies   1243, 1278
fancy   611, 769, 1025, 2822, 2962, 3536, 5743, 5943
fangled   3523
fann   3958
fanning   1871
fantasies   2424
fantastick   1144, 2357
fantasticks   3524
far   19, 70, 435, 454, 659, 985, 1294, 1346, 1353, 1555, 1987, 2412, 2448, 2638, 2711, 2738, 3332, 3579, 3682, 4621, 4845, 4962, 5469, 5662, 5903, 6027, 6202, 6691
farewel   6117, 6633
faro   1563
farr   36, 2890, 2961, 3127, 3409
farther   2110, 2141
farthest   2446
fashion   2608
fashioned   52
fast   715, 751, 1316, 1318, 3119, 4207, 4325, 4743, 4761, 6653, 6898
fastn   6615
fat   6934
fatal   1641, 3393, 6188
fatall   1930
fate   273, 632, 929, 1100, 1737, 3417
father   181, 430, 1274, 1644, 2263, 2761, 3131, 3290, 3365, 3564, 3774, 5031, 5080, 5104, 5483, 5502, 5579, 5620, 6440
fatherless   4456
fathers   2241, 3263, 3737, 5577, 5744, 5811, 6653, 6683, 6712, 6735, 6982, 6998
faticosa   1537
fault   286, 5362, 5561, 5636
faults   5926
fauns   1860
favella   1497
favonius   3779
favour   83, 981, 1845, 2106, 2284, 2403, 4068, 4127, 4610, 4783, 5394, 6210, 6566, 6631
favourable   6076
favouring   4454, 6985
favours   2085, 5829
fear   1302, 2571, 2612, 2655, 2662, 2664, 2701, 2839, 3098, 3576, 3992, 4021, 4106, 4646, 4710, 4723, 5010, 5887, 6052, 6095, 6233, 6421, 6443, 6587, 6761
feard   5943, 6984
fearful   407
fearless   5664, 5959
fears   489, 2602, 2783, 2785, 3531, 3851, 5954, 6693
feast   934, 1237, 1948, 2315, 2735, 3074, 3553, 3782, 4385, 5082, 5088, 5125, 5564, 6378, 6509, 6513, 6670, 6873, 6917
feasted   6639
feastful   7006
feastfull   1627
feasts   3042
feat   1211
feather   1418
feathers   2626
feathery   2594
feats   6254, 6473, 6543, 6863
features   3044
feaverish   2214
fed   124, 1849, 1956, 2873
fedele   1564
fee   1637, 3676
feeble   789, 3351, 5586
feed   3017, 4308, 6808
feeder   3076
feel   2361, 3098, 5122, 5735, 5807, 6333, 6596
feeling   5209
feels   779
feet   457, 626, 1427, 2399, 2551, 3184, 3207, 4266, 5224, 5462, 5879, 6087, 6106
feign   5264, 5900, 5979, 6024, 6292
feigndst   6312
feirce   2936, 3911
felicity   984
fell   2256, 2259, 2482, 3979, 4229, 5258, 5384, 5667, 6834, 6837
fellon   1921
fellonious   2415
fellows   2745
felt   2485, 6168, 6451, 6897
femal   5855
female   5926, 6219, 6224
feminine   5532
fen   2688
fence   3088, 4337, 6093
fend   1220
ferment   5762
fertility   3025
fester   5302, 5764
festival   5075, 6859
festivall   627
festivals   3151, 6142
fetch   612, 1088, 1724, 3004, 5092, 6076, 6996
fetter   373, 6339, 6422
fetters   3122, 5148
few   43, 225, 257, 1618, 2138, 2641, 3068, 3918, 6618
fia   1539
fian   1544
fickle   1282, 5278
fie   3557
field   1853, 3895, 4268, 6258, 6267, 6653
fields   2266, 3308, 3441, 3744, 3775
fierce   757, 2681, 3980, 4620, 4840, 5755, 6110, 6144
fiercest   5241
fierie   6954
fiery   850, 1325, 5140, 5686
fift   5059
fifth   3619
fight   4794, 5472, 6287, 6355, 6406, 6411, 6447
figures   1936
file   3654
filial   5645
fill   1133, 1276, 1400, 1459, 1625, 1982, 2417, 2822, 2824, 3246, 3723, 4327, 4488, 4541, 5862, 6874
filling   3867
fills   5689
final   35, 6351
finall   2076
finally   6491
finche   1556
find   31, 104, 241, 1115, 1440, 1623, 1677, 1902, 2139, 2423, 2543, 2548, 2769, 2882, 2926, 3592, 3846, 4116, 4531, 4569, 4907, 4966, 5130, 5153, 5430, 5553, 5753, 5920, 6589, 6613, 6664, 6668, 6981, 6990
finding   805, 1057, 5762
finds   6210
fine   5846
finest   4439
finger   557
fingers   1828, 3226, 4255
finis   4850
finish   6975
finny   2328
fior   1497
fir   6639
fire   460, 645, 1222, 1366, 2324, 2688, 3475, 3544, 3776, 3996, 4188, 4352, 4534, 4621, 6656
firm   2864, 3870, 3982, 4113, 4351, 4501
firmament   125, 2874, 4257
firme   3920
firmest   5945
firmlier   6615
first   10, 17, 35, 158, 164, 188, 189, 248, 268, 275, 307, 458, 638, 846, 869, 902, 1224, 1323, 1462, 1875, 2035, 2073, 2107, 2203, 2252, 2288, 2568, 2724, 2965, 3286, 3440, 3506, 3515, 3681, 3691, 4864, 4974, 5089, 5095, 5196, 5265, 5338, 5512, 5520, 5922, 5930, 6035, 6199, 6239, 6656, 6788, 6808, 6830, 6832, 6854
fish   4270
fist   6422
fit   523, 783, 1350, 1746, 2820, 2995, 3089, 3450, 3536
fitly   793
fits   4965, 6085, 6424, 6516
fitted   5236
five   6440
fix   1316, 4761
fixed   1276, 2176
fixes   2803
fixing   45
fixt   1624, 3122, 5872, 6707, 6898
flag   2880
flale   1218
flame   537, 936, 2342, 3092, 4536, 5383, 6559, 6955
flames   1171, 2004, 2966, 4890, 5138, 6654
flaming   844
flamins   692
flaring   1404
flashy   1954
flat   5736
flatterd   769
flattering   3634, 5521
flaunting   2819
flavor   5680
fled   709, 984, 2952, 3452, 3827, 4002, 5253, 5385
fleece   5673
fleecy   1344, 2774
fleet   374, 3206
fleetstreet   4996
flesh   4562
fleshly   747, 1364
flew   3720, 5383
flie   1578, 3473, 4165, 5820, 6781
flies   2961
flight   525, 1151, 2374, 2853, 3135, 3443, 6133, 6294
flighted   3367
fling   1403, 3319
flings   1223
floar   2000
float   2472
floating   6240
flock   1849, 2768, 4290, 4408, 6672
flocks   1182, 1781, 1855, 2394, 2591, 2805, 2814, 3008, 4267
flood   46, 778, 826, 1366, 1699, 2018, 2225, 3134, 3245, 7053
florence   2147
floribus   2056
flote   1836
floud   48, 1915
flourets   1967
flourish   387
flourisht   1644
flouts   4315
flow   207, 1022, 4840, 5684
flower   1937, 1980, 3387, 3422, 4439, 5258, 5874, 6094, 6915
flowers   54, 147, 152, 973, 1874, 3323, 6146, 7007
flowing   1101, 1306, 3135
flowr   955, 4654
flowre   682, 2915
flowres   1257, 1973
flowry   999, 1415, 2461, 2477, 3593, 4879
flows   4028
flute   1859, 2392
fly   814, 1854, 3255, 3305, 3342, 3532, 3747, 4570, 4846, 7041
flying   3132, 5375
foe   3482, 3592, 4177, 4313, 5700, 6036, 6377, 6456, 6693, 6751
foes   2704, 3898, 4005, 4025, 4188, 4251, 4295, 4430, 4486, 4733, 5222, 5470, 5494, 5553, 5554, 6049, 6764, 6844, 6929
fog   2492, 2688
foil   1908
fold   1946, 2213, 2306, 2767, 2816, 3739, 3746, 6927
folded   2591, 6298
folio   1030
follow   11, 72, 162, 1760, 1764, 2940, 3347, 3717, 4424, 5047
followed   20, 58, 69, 70, 3665
following   227, 2100, 3856
follows   136, 223, 320, 353, 1794, 2041, 3640, 4975
folly   1274, 1333, 3301, 4644, 5506, 5975, 6161, 6207
fomentation   2178
fond   1278, 2273, 5347, 5961, 6945
fondly   1884, 3761
food   4342, 4661, 5713, 6577
fool   2954, 5190, 5318, 5320, 5422, 5629, 6062, 6541
foolish   5315
foolishnes   3002
fools   2733, 4100
foot   221, 2172, 5250, 6879
footing   1934, 2362
footsteps   4665
for   17, 63, 66, 99, 107, 143, 148, 153, 155, 162, 165, 173, 194, 225, 271, 283, 287, 290, 292, 293, 298, 300, 301, 346, 372, 381, 428, 473, 526, 536, 610, 656, 735, 739, 741, 761, 771, 792, 801, 822, 834, 837, 861, 863, 868, 933, 944, 972, 974, 982, 1013, 1021, 1028, 1053, 1063, 1090, 1092, 1468, 1598, 1696, 1714, 1746, 1832, 1834, 1848, 1880, 1885, 1887, 1944, 1945, 1984, 1999, 2014, 2061, 2112, 2119, 2120, 2126, 2127, 2140, 2142, 2162, 2177, 2221, 2248, 2249, 2273, 2365, 2375, 2394, 2415, 2447, 2537, 2609, 2640, 2697, 2742, 2752, 2793, 2846, 2862, 2878, 2926, 2974, 2996, 3044, 3048, 3073, 3151, 3158, 3170, 3239, 3391, 3397, 3418, 3431, 3432, 3520, 3565, 3568, 3577, 3591, 3621, 3626, 3678, 3681, 3683, 3695, 3717, 3804, 3838, 3884, 3962, 4010, 4018, 4023, 4052, 4079, 4092, 4097, 4112, 4119, 4124, 4136, 4138, 4141, 4142, 4150, 4177, 4189, 4218, 4222, 4324, 4350, 4359, 4387, 4421, 4441, 4474, 4486, 4496, 4498, 4526, 4543, 4563, 4588, 4595, 4596, 4627, 4640, 4674, 4676, 4680, 4682, 4684, 4693, 4694, 4704, 4715, 4716, 4784, 4791, 4810, 4894, 4957, 4995, 5014, 5043, 5051, 5083, 5085, 5116, 5145, 5153, 5223, 5276, 5284, 5304, 5313, 5317, 5320, 5411, 5421, 5438, 5458, 5479, 5480, 5489, 5491, 5500, 5605, 5610, 5636, 5646, 5649, 5656, 5728, 5835, 5848, 5853, 5859, 5928, 5952, 5960, 5994, 6035, 6037, 6046, 6059, 6066, 6110, 6125, 6152, 6189, 6191, 6233, 6249, 6274, 6323, 6342, 6344, 6348, 6368, 6399, 6405, 6413, 6496, 6520, 6587, 6592, 6624, 6659, 6684, 6689, 6708, 6712, 6713, 6762, 6770, 6777, 6784, 6890, 6892, 6924, 6941, 6961, 6973, 6986, 6995, 7049, 7061
forbear   4216
forbid   1043, 5126, 5693
forbidden   6317, 6627
forbidding   2492
forbids   6519
forc   1828, 6269, 6673
force   2866, 2883, 3217, 3390, 3576, 3598, 3817, 3839, 5260, 6091, 6258, 6390, 6403, 6468, 6582, 6614, 6888, 6908
forcers   3831
fore   155, 2518, 3581, 5258, 5375
forecast   3517
forefathers   4753
forehead   2004
forein   4412
foresaw   5884
foresight   2154
forest   46
forestall   2610
forests   1391, 2678
foretell   1466
foretels   1822
foretold   5136, 5157, 5660, 6924
forfeit   429, 5642
forgery   2993, 5245
forget   1314, 2282, 3738
forgive   4614, 5909, 5936, 6112
forgiveness   6064, 6589
forgo   6096, 6709
forgoes   694
forgot   517, 3930, 5611
forhead   3029
forlorn   1113, 2245, 4044, 4801
form   24, 219, 270, 274, 279, 434, 2276, 2434, 3650, 3857
former   758, 5350, 5500, 5545, 6740
forms   51, 246, 2881
forrein   390
forren   2488
forrest   48, 4268
forsake   699, 4832
forsaken   1974
forse   1568
forsi   1549
forsook   439, 1363, 2768, 3458, 5772
fort   5355, 5400
forte   1545
forth   384, 404, 1207, 2016, 2441, 2443, 3006, 4226, 4294, 4660, 5042, 5076, 5277, 5953, 6027, 6077, 6114, 6797, 6862
forthwith   5453
fortitude   3890, 5798, 6483
fortune   3892, 5283, 5286, 6266, 6486
fortunes   988
forward   1693
foss   1503
foul   485, 1049, 1958, 2280, 2631, 2719, 2884, 2927, 2991, 3403, 4184, 4719, 4932, 5499, 5539, 6054
foulded   661
found   29, 47, 81, 166, 170, 243, 245, 257, 274, 758, 787, 932, 1365, 2162, 2566, 2709, 2844, 2853, 4124, 4261, 4565, 5058, 5133, 5310, 5425, 5516, 5555, 5557, 5938, 6211, 6685, 7014
foundation   3106, 4198, 4743
foundations   594, 4466
founded   4251, 4867, 6733
founder   2743
fountain   1849, 1915, 2332, 3224, 5684, 5721
fountains   207, 4769
four   188, 189, 3856
fourteen   198
fourth   5531
fowl   4270, 6959
fowls   5838
fragrant   2967
frail   863, 1985, 2214, 5800
frailty   2979, 5497, 5932
fram   5051
frame   4701
france   2145
frankly   79
fraud   3878, 5189
fraught   2602, 6245
fre   4177
freakt   1976
free   1121, 1150, 1259, 1704, 3121, 3336, 3348, 3679, 3839, 3900, 4321, 4395, 4400, 4438, 4694, 4717, 4718, 4915, 4916, 5441, 6397, 6422, 6631, 6826
freed   3876, 4564
freedom   2955, 3678, 6980
freely   229, 230, 739, 5120, 6586
freez   2704
freezing   3408
freize   3018
french   3801
frequent   220, 260, 5396
frequently   64, 5018
fresh   1132, 1459, 1855, 1970, 2027, 2963, 3780, 4768, 5123, 5684, 6515
fret   1622
friars   1214
friend   1820, 2114, 2129, 2166, 3265, 3726, 3937, 4844, 5460, 5625, 6457
friendly   2376, 2512, 2751, 2971, 6249, 6738
friends   1627, 2079, 2282, 4754, 4808, 5079, 5296, 5304, 5306, 5310, 5319, 5747, 6380, 6635, 6995
friendship   2178, 5628
fright   1410
frighted   2827, 3367
fringed   3200
frivolous   2700
fro   6910
frock   5247
froggs   3674
frolick   1128, 2265
from   9, 12, 14, 22, 100, 303, 396, 401, 402, 427, 454, 460, 615, 648, 656, 668, 672, 679, 852, 922, 952, 956, 975, 998, 999, 1023, 1153, 1165, 1192, 1256, 1353, 1356, 1376, 1402, 1410, 1413, 1467, 1597, 1607, 1667, 1676, 1714, 1718, 1720, 1780, 1821, 1841, 1861, 1924, 1927, 2014, 2073, 2074, 2085, 2103, 2119, 2128, 2140, 2142, 2148, 2156, 2173, 2181, 2247, 2251, 2252, 2287, 2353, 2409, 2414, 2500, 2506, 2531, 2535, 2546, 2555, 2560, 2584, 2593, 2599, 2638, 2647, 2694, 2767, 2900, 2960, 2987, 3004, 3127, 3131, 3193, 3206, 3224, 3241, 3338, 3345, 3409, 3411, 3413, 3430, 3443, 3447, 3466, 3472, 3509, 3522, 3575, 3586, 3590, 3682, 3694, 3710, 3713, 3745, 3778, 3815, 3817, 3818, 3837, 3858, 3876, 3877, 3900, 3939, 3976, 4002, 4016, 4027, 4053, 4074, 4121, 4150, 4198, 4225, 4281, 4294, 4320, 4345, 4360, 4389, 4394, 4396, 4438, 4440, 4461, 4533, 4564, 4570, 4580, 4598, 4612, 4620, 4629, 4654, 4656, 4718, 4719, 4792, 4798, 4804, 4808, 4818, 4833, 4835, 4845, 4859, 4887, 4894, 4912, 4924, 4937, 4947, 5034, 5043, 5076, 5083, 5091, 5118, 5129, 5132, 5136, 5139, 5141, 5152, 5211, 5218, 5253, 5274, 5281, 5297, 5316, 5342, 5350, 5407, 5436, 5513, 5522, 5642, 5660, 5682, 5687, 5695, 5704, 5722, 5742, 5747, 5771, 5777, 5806, 5808, 5830, 5938, 6029, 6073, 6077, 6144, 6220, 6273, 6275, 6301, 6311, 6337, 6349, 6350, 6383, 6396, 6401, 6420, 6608, 6653, 6659, 6751, 6759, 6761, 6790, 6892, 6917, 6955, 6967, 6984, 6991, 7004, 7009, 7022, 7033
frondi   1518
front   480, 748, 5629
frontem   338
fronts   2236
frost   1874, 6831
frounc   1395
frowde   78
frown   2701, 2959, 4346, 4355, 6104
frowning   4628
frowns   2960
frozen   3780
fruit   946, 2405, 2646, 3956
fruitful   5297
fruitfull   4578
fruits   3008, 4661
frustrate   5729, 6327
fuel   3996, 6559
fuggir   1561
fulfill   6923
fulfilld   5158
fulfilling   571
fulgor   1534
full   547, 606, 655, 867, 1053, 1223, 1434, 1578, 1712, 2083, 2265, 2394, 3007, 3069, 3240, 3399, 3579, 3821, 3988, 4015, 4417, 4489, 4641, 4686, 4755, 4805, 5093, 5332, 5434, 5661, 5907, 5954, 6020, 6827
